semantic name,provider reference,family,source,v1 policy
dashboard,solar:home-angle-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
house,solar:home-smile-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
flock,solar:users-group-two-rounded-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
egg,ph:egg-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
feed,solar:bag-4-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
medicine,solar:pill-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
vaccine,solar:syringe-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
mortality,solar:danger-triangle-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
production,solar:factory-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
weight,solar:scale-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
truck,solar:bus-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
delivery,solar:box-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
route,solar:routing-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
location,solar:map-point-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
dispatch,solar:delivery-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
user,solar:user-circle-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
users,solar:users-group-rounded-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
role,solar:user-id-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
permission,solar:shield-keyhole-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
lock,solar:lock-keyhole-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
unlock,solar:lock-keyhole-unlocked-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
shield,solar:shield-check-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
file,solar:file-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
folder,solar:folder-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
pdf,solar:file-text-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
spreadsheet,solar:document-text-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
attachment,solar:paperclip-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
image,solar:gallery-wide-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
media,solar:gallery-wide-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
note,solar:notes-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
fileCheck,solar:file-check-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
notification,solar:bell-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
message,solar:chat-round-dots-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
email,solar:letter-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
mail,solar:letter-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
phone,solar:phone-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
announcement,solar:volume-loud-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
assessment,solar:file-text-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
certificate,solar:verified-check-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
award,solar:medal-ribbon-star-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
graduation,solar:medal-star-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
cup,solar:cup-star-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
play,solar:play-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
ai,solar:cpu-bolt-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
themeLight,solar:sun-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
themeDark,solar:moon-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
eye,solar:eye-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
eyeOff,solar:eye-closed-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
loading,solar:restart-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
grip,solar:sort-vertical-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
company,solar:buildings-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
group,solar:buildings-3-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
branch,solar:city-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
department,solar:layers-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
board,solar:case-round-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
contract,solar:document-add-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
policy,solar:notebook-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
regulation,solar:book-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
compliance,solar:shield-check-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
audit,solar:clipboard-list-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
checklist,solar:checklist-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
fixedAsset,solar:buildings-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
shop,solar:shop-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
storefront,solar:shop-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
outlet,solar:shop-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
cart,solar:cart-large-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
order,solar:cart-check-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
addOrder,solar:cart-plus-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
salesOrder,ph:clipboard-text-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
pos,solar:cash-out-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
price,solar:tag-price-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
discount,solar:sale-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
customer,solar:bag-smile-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
sales,solar:graph-new-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
commission,solar:hand-money-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
cash,solar:wad-of-money-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
banknote,solar:banknote-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
moneyIn,solar:card-recive-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
moneyOut,solar:card-send-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
safe,solar:safe-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
vault,solar:safe-square-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
supplier,ph:storefront-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
purchase,ph:basket-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
goodsReceipt,solar:recive-square-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
goodsIssue,solar:send-square-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
farmSite,solar:home-smile-angle-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
barn,ph:barn-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
tractor,ph:tractor-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
field,ph:plant-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
grain,ph:grains-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
silo,mdi:silo,named exception,AAPM Icon.jsx,preserve semantic name; compile locally
corn,mdi:corn,named exception,AAPM Icon.jsx,preserve semantic name; compile locally
feedMill,ph:factory-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
water,solar:water-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
waterIntake,solar:waterdrops-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
temperature,solar:temperature-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
thermometer,solar:thermometer-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
humidity,solar:sun-fog-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
ventilation,ph:fan-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
wind,solar:wind-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
lighting,solar:lightbulb-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
lightProgram,solar:lightbulb-bolt-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
weather,solar:cloud-sun-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
organic,solar:leaf-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
biosecurity,solar:shield-keyhole-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
chicken,healthicons:animal-chicken,named exception,AAPM Icon.jsx,preserve semantic name; compile locally
rooster,game-icons:rooster,named exception,AAPM Icon.jsx,preserve semantic name; compile locally
bird,ph:bird-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
doc,ph:egg-crack-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
population,solar:users-group-two-rounded-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
culling,solar:trash-bin-trash-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
bodyWeight,ph:scales-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
uniformity,ph:chart-donut-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
flockAge,solar:calendar-date-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
productionRate,ph:percent-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
eggCracked,ph:egg-crack-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
eggTray,game-icons:egg-clutch,named exception,AAPM Icon.jsx,preserve semantic name; compile locally
grading,ph:stack-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
packing,ph:package-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
carton,ph:cube-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
vet,ph:stethoscope-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
health,solar:health-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
vitals,solar:heart-pulse-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
dosage,ph:pill-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
treatment,ph:first-aid-kit-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
sample,solar:test-tube-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
lab,ph:microscope-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
disease,ph:virus-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
quarantine,solar:hospital-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
rack,solar:layers-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
bin,solar:archive-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
forklift,mdi:forklift,named exception,AAPM Icon.jsx,preserve semantic name; compile locally
inbound,solar:recive-square-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
outbound,solar:send-square-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
scan,solar:scanner-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
barcode,solar:barcode-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
qr,solar:qr-code-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
expiry,solar:hourglass-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
uom,solar:ruler-cross-pen-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
weighbridge,solar:weigher-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
reorderPoint,solar:cart-3-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
fleet,solar:bus-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
driver,solar:user-id-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
trip,solar:routing-3-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
tracking,solar:gps-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
geofence,solar:map-point-wave-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
fuel,solar:fuel-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
fuelStation,solar:gas-station-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
shipment,ph:truck-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
manifest,ph:clipboard-text-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
budget,solar:wallet-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
revenue,solar:dollar-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
cashflow,solar:transfer-vertical-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
cost,solar:banknote-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
cogs,solar:calculator-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
forecast,solar:diagram-up-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
composition,solar:pie-chart-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
savings,ph:piggy-bank-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
coins,ph:coins-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
currency,ph:currency-circle-dollar-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
subsidy,ph:hand-coins-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
depreciation,solar:graph-down-new-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
ledger,solar:book-bookmark-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
chartOfAccounts,solar:folder-with-files-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
balanceSheet,solar:scale-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
tax,ph:receipt-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
payable,solar:bill-cross-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
receivable,solar:card-recive-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
reconcile,solar:checklist-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
closing,solar:lock-password-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
archived,solar:archive-check-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
period,solar:calendar-date-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
accountBank,ph:bank-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
employee,solar:user-id-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
payroll,solar:wallet-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
training,solar:notebook-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
,,,,
provider:solar,232,provider total,derived from AAPM registry,family must remain optically compatible
provider:ph,33,provider total,derived from AAPM registry,family must remain optically compatible
provider:mdi,3,provider total,derived from AAPM registry,family must remain optically compatible
provider:game-icons,2,provider total,derived from AAPM registry,family must remain optically compatible
provider:healthicons,1,provider total,derived from AAPM registry,family must remain optically compatible
